Questions;Answers; ; ; ; ;Indexes; ; ; 
Sensoriklabor Probe 322 Farbe;Rubinrot; ; ; ; ;;;;
Sensoriklabor Probe 322 Geruch;Fruchtig;Vegetativ; ; ; ;;;;
Sensoriklabor Probe 322 Geschmack;Dezente Säure;Holz;Leichte Süße;Schmelz/Cremig; ;;;;
Sensoriklabor Probe 644 Farbe;Hellrot mit braunem Rand; ; ; ; ;;;;
Sensoriklabor Probe 644 Geruch;Vegetativ; ; ; ; ;;;;
Sensoriklabor Probe 644 Geschmack;Dezente Säure;Holz;Bitter;Leichte Süße;Schmelz/Cremig;;;;
Proband ID;1; ; ; ;;;;;
;;;;;;;;;
Studie;CATA; ; ; ;;;;;
;;;;;;;;;
Studie Variante;Rotwein; ; ; ;;;;;
;;;;;;;;;
Umgebung;Sensoriklabor; ; ; ;;;;;
