Questions;Answers; ; ; ; ;Indexes; ; ; ;
Weinkeller Probe 322 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ; 
Weinkeller Probe 322 Geruch;Fruchtig;Kirsche;Dunkle Beeren;Vanille; 
Weinkeller Probe 322 Geschmack;Süß;Dezente Säure;Tannine; ; 
Weinkeller Probe 983 Farbe;Rubinrot; ; ; ; 
Weinkeller Probe 983 Geruch;Fruchtig;Pflaume;Würzig;Rauchig;Holz
Weinkeller Probe 983 Geschmack;Dezente Säure;Bitter;Adstringierend;Tannine;Holz
Proband ID;8; ; ; ;

Studie;CATA; ; ; ;

Studie Variante;Rotwein; ; ; ;

Umgebung;Weinkeller; ; ; ;

