Questions;Answers; ; ; ; ; ;Indexes; ; ; ; ;
Weinkeller Probe 131 Farbe;Gelblich-grün; ; ; ; ; 
Weinkeller Probe 131 Geruch;Fruchtig;Zitrus;Holz; ; ; 
Weinkeller Probe 131 Geschmack;Süß;Dominante Säure;Alkoholisch; ; ; 
Weinkeller Probe 597 Farbe;Hellgelb; ; ; ; ; 
Weinkeller Probe 597 Geruch;Blumig;Apfel;Vegetativ;SchmelzCremig; ; 
Weinkeller Probe 597 Geschmack;Starke Süße;Dezente Säure;Alkoholisch;SchmelzCremig; ; 
Weinkeller Probe 364 Farbe;Mittleres gelb; ; ; ; ; 
Weinkeller Probe 364 Geruch;Blumig;Fruchtig;Honigmelone;Pfirsich;Apfel;Birne
Weinkeller Probe 364 Geschmack;Leichte Süße;Sauer;Bitter;Alkoholisch;SchmelzCremig; 
Proband ID;16; ; ; ; ;

Studie;CATA; ; ; ; ;

Studie Variante;Weißwein; ; ; ; ;

Umgebung;Weinkeller; ; ; ; ;

