Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; 
Sensoriklabor Probe 131 Geruch;Zitrus;Honigmelone;Birne
Sensoriklabor Probe 131 Geschmack;Süß;Dezente Säure;SchmelzCremig
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; 
Sensoriklabor Probe 720 Geruch;Vegetativ;Apfel;Birne
Sensoriklabor Probe 720 Geschmack;Dezente Säure;Leichte Süße; 
Sensoriklabor Probe 364 Farbe;Hellgelb; ; 
Sensoriklabor Probe 364 Geruch;Fruchtig;Honigmelone;Birne
Sensoriklabor Probe 364 Geschmack;Dezente Säure;Leichte Süße; 
Proband ID;15; ;

Studie;CATA; ;

Studie Variante;Weißwein; ;

Umgebung;Sensoriklabor; ;

