Questions;Answers; ; ; ; ; ;Indexes; ; ; ; ;
Sensoriklabor Probe 983 Farbe;Rubinrot; ; ; ; ; 
Sensoriklabor Probe 983 Geruch;Würzig;Rauchig;Erdbeere;Vanille;Holz; 
Sensoriklabor Probe 983 Geschmack;Sauer;Holz;Bitter;Leichte Süße; ; 
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexens; ; ; ; ; 
Sensoriklabor Probe 644 Geruch;Würzig;Kirsche;Dunkle Beeren;Pflaume;Nelke;Vanille
Sensoriklabor Probe 644 Geschmack;Tannine;Sauer;Leichte Süße; ; ; 
Proband ID;4; ; ; ; ;

Studie;CATA; ; ; ; ;

Studie Variante;Rotwein; ; ; ; ;

Umgebung;Sensoriklabor; ; ; ; ;

