Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ; ; ; ; 
Sensoriklabor Probe 644 Geruch;Würzig;Kirsche;Dunkle Beeren;Pflaume; ; ; 
Sensoriklabor Probe 644 Geschmack;Tannine;Alkoholisch;Holz;Bitter; ; ; 
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ; ; ; 
Sensoriklabor Probe 983 Geruch;Vegetativ;Würzig;Rauchig;Dumpf;Pflaume;Pfeffer;Holz
Sensoriklabor Probe 983 Geschmack;Adstringierend;Tannine;Alkoholisch;Dezente Säure;Leichte Süße; ; 
Proband ID;10; ; ; ; ; ;

Studie;CATA; ; ; ; ; ;

Studie Variante;Rotwein; ; ; ; ; ;

Umgebung;Sensoriklabor; ; ; ; ; ;

