Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ; ; ; ; 
Sensoriklabor Probe 644 Geruch;Würzig;Rauchig;Kirsche;Dunkle Beeren;Nelke;Vanille;Holz
Sensoriklabor Probe 644 Geschmack;Tannine;Dezente Säure;Holz;Leichte Süße; ; ; 
Sensoriklabor Probe 322 Farbe;Dunkelrot mit bläul. Reflexens; ; ; ; ; ; 
Sensoriklabor Probe 322 Geruch;Fruchtig;Würzig;Erdbeere;Kirsche;Pflaume; ; 
Sensoriklabor Probe 322 Geschmack;Sauer;Leichte Süße; ; ; ; ; 
Proband ID;11; ; ; ; ; ;

Studie;CATA; ; ; ; ; ;

Studie Variante;Rotwein; ; ; ; ; ;

Umgebung;Sensoriklabor; ; ; ; ; ;

