Questions;Answers; ; ; ; ; ; ; ;Indexes; ; ; ; ; ; ;
Sensoriklabor Probe 597 Farbe;Mittleres gelb; ; ; ; ; ; ; 
Sensoriklabor Probe 597 Geruch;Fruchtig;Blumig;Vegetativ;Zitrus;Honigmelone;Apfel;Birne;Holz
Sensoriklabor Probe 597 Geschmack;Süß;Starke Süße;Sauer; ; ; ; ; 
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ; ; ; 
Sensoriklabor Probe 364 Geruch;Blumig;Vegetativ;Apfel;Birne; ; ; ; 
Sensoriklabor Probe 364 Geschmack;Sauer;Leichte Süße;Dominante Säure; ; ; ; ; 
Sensoriklabor Probe 131 Farbe;Gelblich-grün; ; ; ; ; ; ; 
Sensoriklabor Probe 131 Geruch;Fruchtig;Zitrus;Honigmelone;Pfirsich;Apfel;Birne; ; 
Sensoriklabor Probe 131 Geschmack;Sauer;Leichte Süße;SchmelzCremig; ; ; ; ; 
Proband ID;11; ; ; ; ; ; ;

Studie;CATA; ; ; ; ; ; ;

Studie Variante;Weißwein; ; ; ; ; ; ;

Umgebung;Sensoriklabor; ; ; ; ; ; ;

