Questions;Answers; ; ; ;Indexes; ; ;
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ; 
Sensoriklabor Probe 983 Geruch;Würzig;Dunkle Beeren;Nelke;Holz
Sensoriklabor Probe 983 Geschmack;Alkoholisch;Dezente Säure;Holz;Bitter
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; ; 
Sensoriklabor Probe 644 Geruch;Fruchtig;Pflaume;Vanille; 
Sensoriklabor Probe 644 Geschmack;Adstringierend;Tannine;Alkoholisch;Holz
Proband ID;17; ; ;

Studie;CATA; ; ;

Studie Variante;Rotwein; ; ;

Umgebung;Sensoriklabor; ; ;

