Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Weinkeller Probe 322 Farbe;Dunkelrot mit bläul. Reflexens; ; ; ; ; ; 
Weinkeller Probe 322 Geruch;Fruchtig;Vegetativ;Würzig;Erdbeere;Kirsche;Pflaume; 
Weinkeller Probe 322 Geschmack;Süß;Sauer;Leichte Süße; ; ; ; 
Weinkeller Probe 983 Farbe;Rubinrot; ; ; ; ; ; 
Weinkeller Probe 983 Geruch;Fruchtig;Würzig;Rauchig;Kirsche;Dunkle Beeren;Nelke;Holz
Weinkeller Probe 983 Geschmack;Sauer;Holz;Leichte Süße;Dominante Säure; ; ; 
Proband ID;11; ; ; ; ; ;

Studie;CATA; ; ; ; ; ;

Studie Variante;Rotwein; ; ; ; ; ;

Umgebung;Weinkeller; ; ; ; ; ;

