Questions;Answers; ; ;Indexes; ;
Weinkeller Probe 720 Farbe;Gelblich-grün; ; 
Weinkeller Probe 720 Geruch;Zitrus;Apfel;Birne
Weinkeller Probe 720 Geschmack;Dominante Säure;SchmelzCremig; 
Weinkeller Probe 131 Farbe;Hellgelb; ; 
Weinkeller Probe 131 Geruch;Zitrus;Apfel;Birne
Weinkeller Probe 131 Geschmack;Dominante Säure; ; 
Weinkeller Probe 364 Farbe;Gelblich-grün; ; 
Weinkeller Probe 364 Geruch;Zitrus;Apfel;Birne
Weinkeller Probe 364 Geschmack;Dominante Säure;SchmelzCremig; 
Proband ID;30; ;

Studie;CATA; ;

Studie Variante;Weißwein; ;

Umgebung;Weinkeller; ;

