Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexens; ; ; ; ; ; 
Sensoriklabor Probe 644 Geruch;Fruchtig;Vegetativ;Kirsche;Dunkle Beeren;Nelke;Vanille;Pfeffer
Sensoriklabor Probe 644 Geschmack;Tannine;Sauer;Leichte Süße; ; ; ; 
Sensoriklabor Probe 983 Farbe;Rubinrot; ; ; ; ; ; 
Sensoriklabor Probe 983 Geruch;Rauchig;Kirsche;Holz; ; ; ; 
Sensoriklabor Probe 983 Geschmack;Alkoholisch;Holz;Dominante Säure; ; ; ; 
Proband ID;4; ; ; ; ; ;

Studie;CATA; ; ; ; ; ;

Studie Variante;Rotwein; ; ; ; ; ;

Umgebung;Sensoriklabor; ; ; ; ; ;

