Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ; ; ; 
Sensoriklabor Probe 644 Geruch;Würzig;Kirsche;Pflaume;Nelke;Vanille;Pfeffer;Holz
Sensoriklabor Probe 644 Geschmack;Adstringierend;Tannine;Holz;Leichte Süße; ; ; 
Sensoriklabor Probe 983 Farbe;Rubinrot; ; ; ; ; ; 
Sensoriklabor Probe 983 Geruch;Vegetativ;Rauchig;Erdbeere;Pflaume; ; ; 
Sensoriklabor Probe 983 Geschmack;Dezente Säure;Bitter; ; ; ; ; 
Proband ID;5; ; ; ; ; ;

Studie;CATA; ; ; ; ; ;

Studie Variante;Rotwein; ; ; ; ; ;

Umgebung;Sensoriklabor; ; ; ; ; ;

