Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ; ; 
Sensoriklabor Probe 644 Geruch;Fruchtig;Würzig;Kirsche;Vanille;Holz
Sensoriklabor Probe 644 Geschmack;Tannine;Sauer;Holz; ; 
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ; 
Sensoriklabor Probe 983 Geruch;Vegetativ;Würzig;Rauchig;Kirsche; 
Sensoriklabor Probe 983 Geschmack;Holz;Dominante Säure; ; ; 
Proband ID;6; ; ; ;

Studie;CATA; ; ; ;

Studie Variante;Rotwein; ; ; ;

Umgebung;Sensoriklabor; ; ; ;

