Questions;Answers; ; ; ; ;Indexes; ; ; ;
Weinkeller Probe 364 Farbe;Hellgelb; ; ; ; 
Weinkeller Probe 364 Geruch;Blumig;Rose; ; ; 
Weinkeller Probe 364 Geschmack;Leichte Süße;Dezente Säure;Alkoholisch;SchmelzCremig; 
Weinkeller Probe 597 Farbe;Hellgelb; ; ; ; 
Weinkeller Probe 597 Geruch;Fruchtig;Pfirsich;Birne;Vegetativ; 
Weinkeller Probe 597 Geschmack;Leichte Süße;Dezente Säure;Bitter; ; 
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ; 
Weinkeller Probe 131 Geruch;Fruchtig;Zitrus;Honigmelone;Pfirsich;Apfel
Weinkeller Probe 131 Geschmack;Leichte Süße;Dominante Säure;SchmelzCremig; ; 
Proband ID;9; ; ; ;

Studie;CATA; ; ; ;

Studie Variante;Weißwein; ; ; ;

Umgebung;Weinkeller; ; ; ;

