Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 720 Farbe;Mittleres gelb; ; ; 
Weinkeller Probe 720 Geruch;Fruchtig;Zitrus;Pfirsich; 
Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;Bitter;SchmelzCremig
Weinkeller Probe 364 Farbe;Mittleres gelb; ; ; 
Weinkeller Probe 364 Geruch;Blumig;Rose;Fruchtig; 
Weinkeller Probe 364 Geschmack;Süß;Dominante Säure;SchmelzCremig; 
Weinkeller Probe 131 Farbe;Hellgelb; ; ; 
Weinkeller Probe 131 Geruch;Apfel;Birne; ; 
Weinkeller Probe 131 Geschmack;Sauer; ; ; 
Proband ID;3; ; ;

Studie;CATA; ; ;

Studie Variante;Weißwein; ; ;

Umgebung;Weinkeller; ; ;

