Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ; ; 
Sensoriklabor Probe 131 Geruch;Fruchtig;ButtrigLaktisch; ; ; 
Sensoriklabor Probe 131 Geschmack;Leichte Süße;Dezente Säure;Bitter;SchmelzCremig;Holz
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; 
Sensoriklabor Probe 720 Geruch;Fruchtig;Honigmelone;Birne;ButtrigLaktisch; 
Sensoriklabor Probe 720 Geschmack;Süß;Bitter;SchmelzCremig;Holz; 
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; 
Sensoriklabor Probe 364 Geruch;Honigmelone;Pfirsich;Birne; ; 
Sensoriklabor Probe 364 Geschmack;Leichte Süße;Bitter;SchmelzCremig; ; 
Proband ID;25; ; ; ;

Studie;CATA; ; ; ;

Studie Variante;Weißwein; ; ; ;

Umgebung;Sensoriklabor; ; ; ;

