Questions;Answers; ; ; ;Indexes; ; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ; 
Sensoriklabor Probe 131 Geruch;Fruchtig;ButtrigLaktisch;Birne;Holz
Sensoriklabor Probe 131 Geschmack;Dezente Säure;Holz;Leichte Süße;SchmelzCremig
Sensoriklabor Probe 364 Farbe;Hellgelb; ; ; 
Sensoriklabor Probe 364 Geruch;Blumig;Rose; ; 
Sensoriklabor Probe 364 Geschmack;Dezente Säure;Bitter; ; 
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; 
Sensoriklabor Probe 720 Geruch;Holz; ; ; 
Sensoriklabor Probe 720 Geschmack;Holz;Bitter;SchmelzCremig; 
Proband ID;7; ; ;

Studie;CATA; ; ;

Studie Variante;Weißwein; ; ;

Umgebung;Sensoriklabor; ; ;

