Questions;Answers;;;;;;Indexes;;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;yellow-green; ; ; ; ; ;2; ; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;lemon;wood; ; ; ;2;3;10; ; ; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;medium sweetness;high acidity;high alcohol; ; ; ;1;5;7; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>597</color>.;pale yellow; ; ; ; ; ;0; ; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;floral;apple;vegetal;butterlactic; ; ;0;6;8;9; ; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;high sweetness;low acidity;high alcohol;buttercream; ; ;2;3;7;8; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;medium yellow; ; ; ; ; ;1; ; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;floral;fruity;honeydew;peach;apple;pear;0;2;4;5;6;7
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;medium acidity;bitter;high alcohol;buttercream; ;0;4;6;7;8; 
Proband ID;16; ; ; ; ; 
Studie;CATA; ; ; ; ; 
Studie Variante;Weißwein; ; ; ; ; 
Umgebung;Weinkeller; ; ; ; ; 
