Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ; ;0; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Fruchtig;Pfirsich; ; ;0;2;5; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Süß;Sauer;Bitter;SchmelzCremig;Holz;1;4;6;8;9
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ; ;0; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Vegetativ;Dumpf; ; ; ;8;11; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Süß;Sauer;Bitter;SchmelzCremig; ;1;4;6;8; 
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ; ;0; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Honigmelone;Vegetativ;ButtrigLaktisch; ;0;4;8;9; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Sauer;Bitter; ; ; ;4;6; ; ; 
Proband ID;26; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
