Questions;Answers;;;Indexes;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ;1; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Kirsche;Dunkle Beeren;Pflaume;6;7;8
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Tannine;Dezente Säure;Leichte Süße;2;5;8
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand; ; ;0; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Erdbeere;Kirsche;0;5;6
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure;Leichte Süße; ;5;8; 
Proband ID;15; ; 
Studie;CATA; ; 
Studie Variante;Rotwein; ; 
Umgebung;Sensoriklabor; ; 
