Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>644</color>.;ruby; ; ; ; ;1; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;spicy;dark berries;plum;clove;0;2;7;8;9
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;tannin;acidic;low sweetness; ; ;2;3;8; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>322</color>.;deep red with bluish reflections; ; ; ; ;2; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;strawberry;cherry;dark berries; ;0;5;6;7; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;acidic;low sweetness; ; ; ;3;8; ; ; 
Proband ID;14; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
