Questions;Answers;;;;Indexes;;;
Please pick a fitting <color=red>color</color> for sample <color=red>644</color>.;ruby; ; ; ;1; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;strawberry;vanilla;wood;0;5;10;12
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;astringent;tannin;wood; ;1;2;6; 
Please pick a fitting <color=red>color</color> for sample <color=red>322</color>.;deep red with bluish reflections; ; ; ;2; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;strawberry;cherry;plum;0;5;6;8
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;tannin;low acidity; ; ;2;5; ; 
Proband ID;18; ; ; 
Studie;CATA; ; ; 
Studie Variante;Rotwein; ; ; 
Umgebung;Weinkeller; ; ; 
