Questions;Answers;Indexes
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot;1
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;0
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure;2
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand;0
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Würzig;6
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Adstringierend;7
Proband ID;31
Studie;CATA
Studie Variante;Rotwein
Umgebung;Sensoriklabor
