Questions;Answers;;;;;;;Indexes;;;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>597</color>.;pale yellow; ; ; ; ; ; ;0; ; ; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;apple;butterlactic; ; ; ; ; ;6;9; ; ; ; ; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;medium acidity;buttercream; ; ; ; ;0;4;8; ; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;pale yellow; ; ; ; ; ; ;0; ; ; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;floral;rose;fruity;honeydew;peach;apple;pear;0;1;2;4;5;6;7
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;high acidity;bitter; ; ; ; ;0;5;6; ; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;pale yellow; ; ; ; ; ; ;0; ; ; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;lemon;dull; ; ; ; ; ;3;11; ; ; ; ; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;high acidity;bitter;high alcohol; ; ; ;0;5;6;7; ; ; 
Proband ID;19; ; ; ; ; ; 
Studie;CATA; ; ; ; ; ; 
Studie Variante;Weißwein; ; ; ; ; ; 
Umgebung;Weinkeller; ; ; ; ; ; 
