W Questions;Answers;;;;;
W Probe 131 Farbe;Gelblich-grün;;;;;
W Probe 131 Geruch;Fruchtig;Zitrus;Holz;;;
W Probe 131 Geschmack;Süß;Dominante Säure;Alkoholisch;;;
W Probe 597 Farbe;Hellgelb;;;;;
W Probe 597 Geruch;Blumig;Apfel;Vegetativ;SchmelzCremig;;
W Probe 597 Geschmack;Starke Süße;Dezente Säure;Alkoholisch;SchmelzCremig;;
W Probe 364 Farbe;Mittleres gelb;;;;;
W Probe 364 Geruch;Blumig;Fruchtig;Honigmelone;Pfirsich;Apfel;Birne
W Probe 364 Geschmack;Leichte Süße;Sauer;Bitter;Alkoholisch;SchmelzCremig;
