Questions;Answers;;;
Sensoriklabor Probe 720 Farbe;Mittleres gelb;;;
Sensoriklabor Probe 720 Geruch;Fruchtig;Honigmelone;Apfel;Holz
Sensoriklabor Probe 720 Geschmack;Dezente Säure;Holz;Leichte Süße;
Sensoriklabor Probe 597 Farbe;Mittleres gelb;;;
Sensoriklabor Probe 597 Geruch;Fruchtig;Blumig;Zitrus;Honigmelone
Sensoriklabor Probe 597 Geschmack;Starke Süße;Dezente Säure;SchmelzCremig;
Sensoriklabor Probe 131 Farbe;Mittleres gelb;;;
Sensoriklabor Probe 131 Geruch;Vegetativ;Dumpf;Holz;
Sensoriklabor Probe 131 Geschmack;Süß;Dezente Säure;SchmelzCremig;
