Questions;Answers;;;
Virtuell Weinkeller Probe 131 Farbe;Gelblich-grün;;;
Virtuell Weinkeller Probe 131 Geruch;Blumig;Zitrus;Apfel;Birne
Virtuell Weinkeller Probe 131 Geschmack;Sauer;Leichte Süße;Dominante Säure;
Virtuell Weinkeller Probe 720 Farbe;Mittleres gelb;;;
Virtuell Weinkeller Probe 720 Geruch;Blumig;Zitrus;Honigmelone;Apfel
Virtuell Weinkeller Probe 720 Geschmack;Süß;Sauer;SchmelzCremig;
Virtuell Weinkeller Probe 597 Farbe;Hellgelb;;;
Virtuell Weinkeller Probe 597 Geruch;Blumig;Vegetativ;Honigmelone;Apfel
Virtuell Weinkeller Probe 597 Geschmack;Süß;Sauer;Leichte Süße;
