Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Fruchtig;Würzig;Vanille;Holz;0;6;8;11
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Leichte Süße;Sauer;Alkoholisch;Tannine;0;3;6;8
Bitte ordnen Sie der Probe <color=red>322</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Fruchtig;Vegetativ;Würzig; ;0;5;6; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Süß;Dezente Säure;Tannine; ;1;2;8; 
Proband ID;21; ; ; 
Studie;CATA; ; ; 
Studie Variante;Rotwein; ; ; 
Umgebung;Weinkeller; ; ; 
