Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;pale yellow; ; ; ; ;0; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;floral;lemon;peach; ;0;1;5;7; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";sweet;acidic;high acidity; ; ;0;2;8; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;pale yellow; ; ; ; ;0; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;floral;vegetal;honeydew;pear;0;1;2;6;9
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";high sweetness;bitter;"butter
cream"; ; ;1;6;9; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;medium yellow; ; ; ; ;1; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";"butter
lactic";wood; ; ; ;3;11; ; ; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";acidic;low sweetness; ; ; ;2;7; ; ; 
Proband ID;14; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
