Questions;Answers;;;Indexes;;
Please pick a fitting <color=red>color</color> for sample <color=red>644</color>.;deep red with bluish reflections; ; ;2; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";dark berries;vanilla;wood;7;10;12
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";tannin;low acidity;wood;2;5;6
Please pick a fitting <color=red>color</color> for sample <color=red>983</color>.;pale red with brown rim; ; ;0; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";vegetal;cherry; ;1;6; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";sweet;low acidity; ;0;5; 
Proband ID;18; ; 
Studie;CATA; ; 
Studie Variante;Rotwein; ; 
Umgebung;Sensoriklabor; ; 
