Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Würzig;Kirsche;Nelke;Pfeffer;2;6;9;11
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Tannine;Sauer;Holz;Dominante Säure;2;3;6;9
Bitte ordnen Sie der Probe <color=red>322</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläulichen Reflexen; ; ; ;2; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Fruchtig;Erdbeere;Vanille; ;0;5;10; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Adstringierend;Tannine;Dezente Säure;Leichte Süße;1;2;5;8
Proband ID;2; ; ; 
Studie;CATA; ; ; 
Studie Variante;Rotwein; ; ; 
Umgebung;Sensoriklabor; ; ; 
