Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;medium yellow; ; ; ; ;1; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";lemon;honeydew;peach;pear;wood;5;6;7;9;11
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";high alcohol;wood;"butter
cream"; ; ;3;5;9; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;medium yellow; ; ; ; ;1; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;floral;rose; ; ;0;1;10; ; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";low acidity;bitter; ; ; ;4;6; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;medium yellow; ; ; ; ;1; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";honeydew;peach;apple;pear; ;6;7;8;9; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";sweet;acidic; ; ; ;0;2; ; ; 
Proband ID;4; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
