Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 322 Farbe;Rubinrot; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 322 Geruch;Fruchtig;Vegetativ; ; ; ;0;2; ; ;
Sensoriklabor Probe 322 Geschmack;Dezente Säure;Holz;Leichte Süße;Schmelz/Cremig; ;4;5;7;9;
Sensoriklabor Probe 644 Farbe;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ;
Sensoriklabor Probe 644 Geruch;Vegetativ; ; ; ; ;2; ; ; ;
Sensoriklabor Probe 644 Geschmack;Dezente Säure;Holz;Bitter;Leichte Süße;Schmelz/Cremig;4;5;6;7;9
Proband ID;1; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Rotwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
