Questions;Answers; ; ; ; ; ;Indexes; ; ; ; ;
Weinkeller Probe 131 Farbe;Gelblich-grün; ; ; ; ; ;2; ; ; ; ;
Weinkeller Probe 131 Geruch;Fruchtig;Zitrus;Holz; ; ; ;2;3;10; ; ;
Weinkeller Probe 131 Geschmack;Süß;Dominante Säure;Alkoholisch; ; ; ;1;5;7; ; ;
Weinkeller Probe 597 Farbe;Hellgelb; ; ; ; ; ;0; ; ; ; ;
Weinkeller Probe 597 Geruch;Blumig;Apfel;Vegetativ;SchmelzCremig; ; ;0;6;8;9; ;
Weinkeller Probe 597 Geschmack;Starke Süße;Dezente Säure;Alkoholisch;SchmelzCremig; ; ;2;3;7;8; ;
Weinkeller Probe 364 Farbe;Mittleres gelb; ; ; ; ; ;1; ; ; ; ;
Weinkeller Probe 364 Geruch;Blumig;Fruchtig;Honigmelone;Pfirsich;Apfel;Birne;0;2;4;5;6;7
Weinkeller Probe 364 Geschmack;Leichte Süße;Sauer;Bitter;Alkoholisch;SchmelzCremig; ;0;4;6;7;8;
Proband ID;16; ; ; ; ;
Studie;CATA; ; ; ; ;
Studie Variante;Weißwein; ; ; ; ;
Umgebung;Weinkeller; ; ; ; ;
