Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ;1; ;
Sensoriklabor Probe 644 Geruch;Kirsche;Dunkle Beeren;Pflaume;6;7;8
Sensoriklabor Probe 644 Geschmack;Tannine;Dezente Säure;Leichte Süße;2;5;8
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ;0; ;
Sensoriklabor Probe 983 Geruch;Fruchtig;Erdbeere;Kirsche;0;5;6
Sensoriklabor Probe 983 Geschmack;Dezente Säure;Leichte Süße; ;5;8;
Proband ID;15; ;
Studie;CATA; ;
Studie Variante;Rotwein; ;
Umgebung;Sensoriklabor; ;
