Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ;0; ;
Sensoriklabor Probe 131 Geruch;Zitrus;Honigmelone;Birne;5;6;9
Sensoriklabor Probe 131 Geschmack;Süß;Dezente Säure;SchmelzCremig;0;4;9
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ;1; ;
Sensoriklabor Probe 720 Geruch;Vegetativ;Apfel;Birne;2;8;9
Sensoriklabor Probe 720 Geschmack;Dezente Säure;Leichte Süße; ;4;7;
Sensoriklabor Probe 364 Farbe;Hellgelb; ; ;0; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Honigmelone;Birne;0;6;9
Sensoriklabor Probe 364 Geschmack;Dezente Säure;Leichte Süße; ;4;7;
Proband ID;15; ;
Studie;CATA; ;
Studie Variante;Weißwein; ;
Umgebung;Sensoriklabor; ;
