Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexens; ; ;2; ;
Sensoriklabor Probe 644 Geruch;Dunkle Beeren;Vanille;Holz;7;10;12
Sensoriklabor Probe 644 Geschmack;Tannine;Dezente Säure;Holz;2;5;6
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ;0; ;
Sensoriklabor Probe 983 Geruch;Vegetativ;Kirsche; ;1;6;
Sensoriklabor Probe 983 Geschmack;Süß;Dezente Säure; ;0;5;
Proband ID;18; ;
Studie;CATA; ;
Studie Variante;Rotwein; ;
Umgebung;Sensoriklabor; ;
