Questions;Answers; ; ; ; ; ; ; ;Indexes; ; ; ; ; ; ;
Sensoriklabor Probe 597 Farbe;Mittleres gelb; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
Sensoriklabor Probe 597 Geruch;Fruchtig;Blumig;Vegetativ;Zitrus;Honigmelone;Apfel;Birne;Holz;0;1;2;5;6;8;9;11
Sensoriklabor Probe 597 Geschmack;Süß;Starke Süße;Sauer; ; ; ; ; ;0;1;2; ; ; ; ;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
Sensoriklabor Probe 364 Geruch;Blumig;Vegetativ;Apfel;Birne; ; ; ; ;1;2;8;9; ; ; ;
Sensoriklabor Probe 364 Geschmack;Sauer;Leichte Süße;Dominante Säure; ; ; ; ; ;2;7;8; ; ; ; ;
Sensoriklabor Probe 131 Farbe;Gelblich-grün; ; ; ; ; ; ; ;2; ; ; ; ; ; ;
Sensoriklabor Probe 131 Geruch;Fruchtig;Zitrus;Honigmelone;Pfirsich;Apfel;Birne; ; ;0;5;6;7;8;9; ;
Sensoriklabor Probe 131 Geschmack;Sauer;Leichte Süße;SchmelzCremig; ; ; ; ; ;2;7;9; ; ; ; ;
Proband ID;11; ; ; ; ; ; ;
Studie;CATA; ; ; ; ; ; ;
Studie Variante;Weißwein; ; ; ; ; ; ;
Umgebung;Sensoriklabor; ; ; ; ; ; ;
