Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ;
Sensoriklabor Probe 983 Geruch;Kirsche;Dunkle Beeren;Pflaume;Vanille;Holz;6;7;8;10;12
Sensoriklabor Probe 983 Geschmack;Adstringierend;Tannine;Sauer;Alkoholisch; ;1;2;3;4;
Sensoriklabor Probe 644 Farbe;Rubinrot; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 644 Geruch;Fruchtig;Würzig;Kirsche;Dunkle Beeren; ;0;2;6;7;
Sensoriklabor Probe 644 Geschmack;Adstringierend;Tannine;Sauer;Alkoholisch;Holz;1;2;3;4;6
Proband ID;19; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Rotwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
