Questions;Answers; ; ; ; ;Indexes; ; ; ;
Weinkeller Probe 322 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ; ;2; ; ; ;
Weinkeller Probe 322 Geruch;Erdbeere;Dunkle Beeren;Pflaume;Vanille; ;5;7;8;10;
Weinkeller Probe 322 Geschmack;Süß;Tannine;Alkoholisch;Dezente Säure;Holz;0;2;4;5;6
Weinkeller Probe 644 Farbe;Rubinrot; ; ; ; ;1; ; ; ;
Weinkeller Probe 644 Geruch;Vegetativ;Würzig;Kirsche;Vanille;Holz;1;2;6;10;12
Weinkeller Probe 644 Geschmack;Adstringierend;Tannine;Alkoholisch;Dezente Säure;Holz;1;2;4;5;6
Proband ID;9; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Rotwein; ; ; ;
Umgebung;Weinkeller; ; ; ;
