Questions;Answers; ; ; ; ;Indexes; ; ; ;
Weinkeller Probe 720 Farbe;Hellgelb; ; ; ; ;0; ; ; ;
Weinkeller Probe 720 Geruch;ButtrigLaktisch;Pfirsich;Birne;Holz; ;3;7;9;11;
Weinkeller Probe 720 Geschmack;Alkoholisch;Dezente Säure;Holz;Bitter;SchmelzCremig;3;4;5;6;9
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ; ;0; ; ; ;
Weinkeller Probe 131 Geruch;Zitrus;Pfirsich;Apfel; ; ;5;7;8; ;
Weinkeller Probe 131 Geschmack;Dominante Säure; ; ; ; ;8; ; ; ;
Weinkeller Probe 597 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Weinkeller Probe 597 Geruch;Fruchtig;Blumig;Vegetativ;Zitrus;Apfel;0;1;2;5;8
Weinkeller Probe 597 Geschmack;Dezente Säure;Leichte Süße;SchmelzCremig; ; ;4;7;9; ;
Proband ID;24; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Weinkeller; ; ; ;
