Questions;Answers; ; ;Indexes; ;
Weinkeller Probe 720 Farbe;Gelblich-grün; ; ;2; ;
Weinkeller Probe 720 Geruch;Zitrus;Apfel;Birne;3;6;7
Weinkeller Probe 720 Geschmack;Dominante Säure;SchmelzCremig; ;5;8;
Weinkeller Probe 131 Farbe;Hellgelb; ; ;0; ;
Weinkeller Probe 131 Geruch;Zitrus;Apfel;Birne;3;6;7
Weinkeller Probe 131 Geschmack;Dominante Säure; ; ;5; ;
Weinkeller Probe 364 Farbe;Gelblich-grün; ; ;2; ;
Weinkeller Probe 364 Geruch;Zitrus;Apfel;Birne;3;6;7
Weinkeller Probe 364 Geschmack;Dominante Säure;SchmelzCremig; ;5;8;
Proband ID;30; ;
Studie;CATA; ;
Studie Variante;Weißwein; ;
Umgebung;Weinkeller; ;
