Questions;Answers; ;Indexes;
Weinkeller Probe 720 Farbe;Hellgelb; ;0;
Weinkeller Probe 720 Geruch;Fruchtig;Apfel;2;6
Weinkeller Probe 720 Geschmack;Leichte Süße; ;0;
Weinkeller Probe 364 Farbe;Mittleres gelb; ;1;
Weinkeller Probe 364 Geruch;Apfel;Birne;6;7
Weinkeller Probe 364 Geschmack;Dezente Säure; ;3;
Weinkeller Probe 131 Farbe;Hellgelb; ;0;
Weinkeller Probe 131 Geruch;Fruchtig; ;2;
Weinkeller Probe 131 Geschmack;Dezente Säure; ;3;
Proband ID;31;
Studie;CATA;
Studie Variante;Weißwein;
Umgebung;Weinkeller;
