Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;Zitrus;Honigmelone;Pfirsich;Birne;Holz;5;6;7;9;11
Sensoriklabor Probe 720 Geschmack;Alkoholisch;Holz;SchmelzCremig; ; ;3;5;9; ;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Blumig;Rose; ; ;0;1;10; ;
Sensoriklabor Probe 364 Geschmack;Dezente Säure;Bitter; ; ; ;4;6; ; ;
Sensoriklabor Probe 131 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 131 Geruch;Honigmelone;Pfirsich;Apfel;Birne; ;6;7;8;9;
Sensoriklabor Probe 131 Geschmack;Süß;Sauer; ; ; ;0;2; ; ;
Proband ID;4; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
