Questions;Answers; ; ; ; ;Indexes; ; ; ;
Weinkeller Probe 322 Farbe;deep red with blue reflection; ; ; ; ;2; ; ; ;
Weinkeller Probe 322 Geruch;Fruchtig;Erdbeere;Kirsche;Dunkle Beeren;Pflaume;0;1;2;3;4
Weinkeller Probe 322 Geschmack;Süß;Dezente Säure; ; ; ;1;2; ; ;
Weinkeller Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ;
Weinkeller Probe 983 Geruch;Fruchtig;Erdbeere;Dunkle Beeren;Rauchig;Holz;0;1;3;10;11
Weinkeller Probe 983 Geschmack;Leichte Süße;Dominante Säure;Bitter;Adstringierend;Tannine;0;4;5;7;8
Proband ID;14; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Rotwein; ; ; ;
Umgebung;Weinkeller; ; ; ;
