Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Weinkeller Probe 597 Farbe;Hellgelb; ; ; ; ; ; ;0; ; ; ; ; ;
Weinkeller Probe 597 Geruch;Apfel;SchmelzCremig; ; ; ; ; ;6;9; ; ; ; ;
Weinkeller Probe 597 Geschmack;Leichte Süße;Sauer;SchmelzCremig; ; ; ; ;0;4;8; ; ; ;
Weinkeller Probe 364 Farbe;Hellgelb; ; ; ; ; ; ;0; ; ; ; ; ;
Weinkeller Probe 364 Geruch;Blumig;Rose;Fruchtig;Honigmelone;Pfirsich;Apfel;Birne;0;1;2;4;5;6;7
Weinkeller Probe 364 Geschmack;Leichte Süße;Dominante Säure;Bitter; ; ; ; ;0;5;6; ; ; ;
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ; ; ; ;0; ; ; ; ; ;
Weinkeller Probe 131 Geruch;Zitrus;Dumpf; ; ; ; ; ;3;11; ; ; ; ;
Weinkeller Probe 131 Geschmack;Leichte Süße;Dominante Säure;Bitter;Alkoholisch; ; ; ;0;5;6;7; ; ;
Proband ID;19; ; ; ; ; ;
Studie;CATA; ; ; ; ; ;
Studie Variante;Weißwein; ; ; ; ; ;
Umgebung;Weinkeller; ; ; ; ; ;
