Questions;Answers; ; ;Indexes; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ;1; ;
Sensoriklabor Probe 720 Geruch;Honigmelone;Birne;ButtrigLaktisch;4;7;9
Sensoriklabor Probe 720 Geschmack;Dezente Säure;SchmelzCremig;Holz;3;8;9
Sensoriklabor Probe 364 Farbe;Hellgelb; ; ;0; ;
Sensoriklabor Probe 364 Geruch;Blumig;Rose;Fruchtig;0;1;2
Sensoriklabor Probe 364 Geschmack;Leichte Süße;SchmelzCremig; ;0;8;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ;0; ;
Sensoriklabor Probe 131 Geruch;Pfirsich; ; ;5; ;
Sensoriklabor Probe 131 Geschmack;Leichte Süße;Dominante Säure; ;0;5;
Proband ID;24; ;
Studie;CATA; ;
Studie Variante;Weißwein; ;
Umgebung;Sensoriklabor; ;
