Questions;Answers; ; ;Indexes; ;
Weinkeller Probe 131 Farbe;Hellgelb; ; ;0; ;
Weinkeller Probe 131 Geruch;Fruchtig;Zitrus; ;2;3;
Weinkeller Probe 131 Geschmack;Leichte Süße;Dezente Säure; ;0;3;
Weinkeller Probe 720 Farbe;Hellgelb; ; ;0; ;
Weinkeller Probe 720 Geruch;Blumig;Fruchtig; ;0;2;
Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig;0;3;8
Weinkeller Probe 364 Farbe;Mittleres gelb; ; ;1; ;
Weinkeller Probe 364 Geruch;Honigmelone;Holz; ;4;10;
Weinkeller Probe 364 Geschmack;Leichte Süße;Holz; ;0;9;
Proband ID;28; ;
Studie;CATA; ;
Studie Variante;Weißwein; ;
Umgebung;Weinkeller; ;
