Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter; ; ; ;3; ; ; 
Bitte geben Sie ihr Geschlecht an.;Weiblich; ; ; ;0; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ; ;1; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;grüngelb; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Schwarze Johannisbeere;Mango;Grapefruit;Gras;0;2;3;5
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel; ; ;0;9; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;mittel; ; ;2;5; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;hellrot; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;Brombeere;Kiefernadel; ;0;1;5; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;wenig; ;1;5;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;wenig;mittel;mittel;2;4;5;9
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;983; ; ; 
