Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Grapefruit;
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang lang; 
Weißwein Gesamteindruck.;sehr gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;Brombeere;buttrig / Molke;
Rotwein Geschmack;Süße mittel;Säure viel;Bitterkeit mittel
Rotwein Geschmack;Alkohol viel;Abgang mittel; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;722;;
