Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Schwarze Johannisbeere;Maracuja;Mango
Weißwein Geschmack;Süße mittel;Säure viel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang kurz; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;reife Süßkirsche;getrocknete Pflaume;
Rotwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig
Rotwein Geschmack;Alkohol wenig;Abgang wenig; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;480;;
