Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;40-54;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;;
Weißwein Farbe.;grüngelb;;;
Weißwein Geruch.;Maracuja;Grapefruit;grüne Paprika;Gras
Weißwein Geschmack;Süße mittel;Säure viel;Bitterkeit viel;
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;granatrot;;;
Rotwein Geruch.;reife Süßkirsche;Vanille;Kiefernadel;
Rotwein Geschmack;Süße viel;Säure wenig;Bitterkeit wenig;
Rotwein Geschmack;Alkohol wenig;Abgang mittel; ; 
Rotwein Gesamteindruck.;akzeptabel;;;
Zeit in Sekunden;1212;;;
