Questions;Answers;;;;
Bitte geben Sie ihre Altersklasse an.;25-39;;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;;
Bitte geben Sie ihre VR Erfahrung an.;Ein paar mal im Monat;;;;
Weißwein Farbe.;grüngelb;;;;
Weißwein Geruch.;Schwarze Johannisbeere;Mango;grüne Paprika;Feuerstein;
Weißwein Geschmack;Süße wenig;Säure viel;Bitterkeit wenig;;
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; ; 
Weißwein Gesamteindruck.;sehr gut;;;;
Rotwein Farbe.;granatrot;;;;
Rotwein Geruch.;reife Süßkirsche;getrocknete Pflaume;Vanille;Leder;buttrig / Molke
Rotwein Geschmack;Süße viel;Säure mittel;Bitterkeit mittel;;
Rotwein Geschmack;Alkohol viel;Abgang viel; ; ; 
Rotwein Gesamteindruck.;gut;;;;
Zeit in Sekunden;260;;;;
